root_id,cell_type
720575941521116888,LHAV2a3a
720575941521777847,L2
720575941521874611,L5
720575941522325835,LC10c
720575941522330551,Mi1
720575941522393523,L2
720575941522482615,L5
720575941522514355,L2
720575941522533811,L5
720575941522628791,L1
720575941522652083,L3
720575941522873847,L5
720575941522969523,L4
720575941522971211,R7
720575941523033267,LHAV3a1
720575941523401975,L5
720575941523813879,LAL147c
720575941523813879,LHAV2b10
720575941524034635,LPC2
720575941524325879,L2
720575941524459511,LAL120b
720575941524459511,LAL150b
720575941524459511,R8
720575941524519671,L3
720575941524602359,LAL190
720575941525114212,LCe01b
720575941525430091,L5
720575941525450084,Mi4
720575941525718091,LAL082
720575941525718091,LAL138
720575941525836107,T1
720575941526490078,L4
720575941526525442,L5
720575941526537497,L5
720575941526860198,vDeltaB
720575941526860198,vDeltaD
720575941526971650,cLP01
720575941527088409,LPLC1
720575941527263844,L5
720575941527547748,T1
720575941527564825,L5
720575941527568996,L4
720575941527658596,Mi1
720575941527691597,LAL158
720575941527691597,LHAV2d1
720575941527771981,L5
720575941527798605,L5
720575941527798786,LAL197
720575941527798786,LHAV1a1
720575941527864066,R8
720575941527899469,Mi1
720575941527951181,L4
720575941527997862,LTe41
720575941528044621,L3
720575941528079204,T1
720575941528211300,L2
720575941528229709,L1
720575941528251673,LAL093
720575941528251673,LHAV2g3
720575941528270157,L5
720575941528324964,L1
720575941528388610,L4
720575941528423938,LC10f
720575941528472486,L4
720575941528476516,LC20a
720575941528525752,LAL198
720575941528566968,LAL184
720575941528566968,LHAD3d4
720575941528614310,L2
720575941528628612,LC24
720575941528750502,R8
720575941528823462,T1
720575941528924326,L5
720575941529048742,LPC2
720575941529084582,Mi1
720575941529095334,LAL090
720575941529095334,LHAD3g1
720575941529116582,R8
720575941529191590,L1
720575941529281446,"LAL163,LAL164"
720575941529736580,Mi1
720575941529856644,L5
720575941530141828,L3
720575941530226564,T1
720575941530379652,T1
720575941530414980,LC9
720575941530525828,LHAV1a4
720575941530525828,LHAV3e3b
720575941530594692,L4
720575941530676868,LHAV1d2
720575941530791044,LAL143
720575941530793656,R7
720575941531007435,LAL085
720575941531206584,L1
720575941531425208,R8
720575941531568824,LC10c
720575941531649995,LHAV2b2b
720575941532707531,L4
720575941532724939,L2
720575941532916939,"LAL176,LAL177"
720575941533267173,R7
720575941533339877,L5
720575941533395173,L5
720575941533930627,R8
720575941533959397,L4
720575941534076901,R7
720575941534104330,vDeltaA_a
720575941534104330,vDeltaD
720575941534366181,LAL179a
720575941534376677,LC10e
720575941534429413,LCe01b
720575941534556138,DNp67
720575941534640259,L5
720575941534765955,L2
720575941534766979,L2
720575941534797443,LC9
720575941534830017,vDeltaD
720575941534843370,L4
720575941534951450,R8
720575941535016067,LAL110
720575941535034346,LTe67
720575941535050115,LHAV1d2
720575941535050115,LHAV2b6
720575941535067882,L5
720575941535144114,HBeyelet
720575941535437912,R8
720575941535624626,L5
720575941535722218,T1
720575941535888562,LHAV2g1a
720575941535888562,T1
720575941535984577,R7
720575941536066904,R7
720575941536207448,LHAV2f2_a
720575941536207448,R8
720575941536250602,Dm15
720575941536285362,L4
720575941536286130,LAL194
720575941536447410,T1
720575941536448234,L5
720575941536483762,L1
720575941536514136,T1
720575941536542474,L5
720575941536550922,T1
720575941536562520,LLPC3
720575941536734986,L4
720575941536901866,LHAV2g2_a
720575941536989377,LHAD1d1
720575941536993985,LAL147c
720575941536993985,LHAD2e3
720575941537005850,L1
720575941537033738,L5
720575941537057290,L5
720575941537098778,v2LN31
720575941537107905,Mi1
720575941537351829,L5
720575941537417482,T1
720575941537533377,T1
720575941537544897,LC18
720575941537710785,LAL132b
720575941538086426,LHAV3c1
720575941538139674,T1
720575941538256922,LC21
720575941538427122,L5
720575941538712701,R8
720575941538725269,L4
720575941538728419,L5
720575941539270805,DNb07
720575941539487474,L5
720575941539617661,R8
720575941539658645,LLPC3
720575941539663346,R8
720575941539670397,R7
720575941540152701,L5
720575941540383637,LC9
720575941540383637,T1
720575941540397461,Mi1
720575941540466325,R8
720575941540533965,L5
720575941540547477,"LAL111,PS060"
720575941540547477,LHAV3e2
720575941540619250,L1
720575941540620018,L3
720575941540669426,LAL186
720575941540777109,LAL138
720575941540794866,LAL098
720575941540902013,T1
720575941540999549,R7
720575941541461885,L1
720575941541532285,L5
720575941541866365,L5
720575941542008701,LAL175
720575941543565404,R8
720575941543815772,L5
720575941543916124,L3
720575941544003164,T1
720575941544112988,L5
720575941544195357,L5
720575941545582004,R8
720575941545675269,L5
720575941545998341,L5
720575941546112261,LC14a1
720575941546166021,L1
720575941546176188,LAL094
720575941546465897,MTe03
720575941546509673,5-HT-IR  Tan
720575941546566405,LAL110
720575941546875324,L1
720575941546944444,T1
720575941546960473,L5
720575941547050601,L4
720575941547159220,L5
720575941547368380,T1
720575941547391164,R8
720575941547466684,L4
720575941547521980,LC10a
720575941547537953,LPC2
720575941547633032,L5
720575941547659881,L5
720575941547807676,L2
720575941547990972,L3
720575941548051305,LAL120a
720575941548051305,LHAV1a3
720575941548061801,LHAD2b1
720575941548202420,R7
720575941548817234,v2LN33
720575941548817234,v2LN34E
720575941548843188,LAL131b
720575941549084808,Mi1
720575941549151112,R8
720575941549218440,LAL091
720575941549218440,LAL140
720575941549218440,T1
720575941549514888,LAL094
720575941549548349,LLPC3
720575941549608072,T1
720575941550194465,L1
720575941550525757,R7
720575941550636577,R7
720575941550681087,L3
